statistic,pval,fdr,df.test,df.dna,df.rna.full,df.rna.red,architecture
12.845419985465924,0.0016242485633038743,0.00506402775421949,2,72,7,5,"Atf4-1:188, 1, set1, minTK"
34.81843224186241,2.749625231731283e-8,2.0104997825349453e-7,2,33,7,5,"ATF4-1:519, 4, set1, minCMV"
14.311043175650411,7.805423278059975e-4,0.0026384650398373344,2,24,7,5,"ATF4-1:519, 4, set1, minProm"
14.224458958868581,8.150757702325796e-4,0.0027386189172694223,2,28,7,5,"ATF4-1:519, 4, set1, minTK"
0.07675104583904613,0.9623514879881457,0.9781172992260783,2,74,7,5,"Atf4-1:521, 4, set1, minCMV"
8.639990269905866,0.013299948247160588,0.03159488754558379,2,80,7,5,"Atf4-1:521, 4, set1, minProm"
9.56347100561652,0.008381440324642199,0.02131627597265109,2,80,7,5,"Atf4-1:521, 4, set1, minTK"
37.872316611764745,5.972153192048515e-9,4.6314349628234823e-8,2,30,7,5,"ATF4-1:852, 8, set1, minCMV"
5.18885441206794,0.07468864502957041,0.13648844325249077,2,30,7,5,"ATF4-1:852, 8, set1, minProm"
20.190260766361916,4.12800847731082e-5,1.8493237102584287e-4,2,31,7,5,"ATF4-1:852, 8, set1, minTK"
0.8162530847548624,0.6648947361380542,0.7478087290532739,2,65,7,5,"Atf4-1:854, 8, set1, minCMV"
14.935459296698355,5.712237044862972e-4,0.002009424967328086,2,79,7,5,"Atf4-1:854, 8, set1, minProm"
39.76317933397331,2.3202528573116507e-9,1.8825618295387262e-8,2,70,7,5,"Atf4-1:854, 8, set1, minTK"
2.1730907808960183,0.3373799989885221,0.4493051365352979,2,73,7,5,"ATF7-1:1186, 1, set2, minCMV"
4.869275728163757,0.08762947508319409,0.1552409102858316,2,56,7,5,"ATF7-1:1186, 1, set2, minProm"
8.253599577027671,0.01613442987927289,0.03726877334279582,2,57,7,5,"ATF7-1:1186, 1, set2, minTK"
1.7524472815875924,0.4163522422616744,0.5265051414394079,2,72,7,5,"ATF7-1:1519, 4, set2, minCMV"
1.0833225704973302,0.5817809450078346,0.675232869280928,2,68,7,5,"ATF7-1:1519, 4, set2, minProm"
4.8550428823391485,0.08825530769103156,0.1561694323936375,2,47,7,5,"ATF7-1:1519, 4, set2, minTK"
4.570027186487096,0.10177267867607336,0.17593239302798833,2,53,7,5,"ATF7-1:1852, 8, set2, minCMV"
22.20223772494319,1.5095424663553246e-5,7.323546467894474e-5,2,49,7,5,"ATF7-1:1852, 8, set2, minProm"
9.76738607488187,0.007569009712654298,0.019484014105248408,2,60,7,5,"ATF7-1:1852, 8, set2, minTK"
2.2185046144918488,0.32980546206444367,0.4416100170045374,2,41,7,5,"ATF7-1:187, 1, set1, minCMV"
6.055908656148404,0.04841457723453443,0.09494327374665085,2,40,7,5,"ATF7-1:187, 1, set1, minProm"
13.203344015977564,0.0013580953917918125,0.0043287088201273026,2,56,7,5,"ATF7-1:187, 1, set1, minTK"
9.097085417595736,0.010582615104058554,0.02588709076838083,2,48,7,5,"ATF7-1:520, 4, set1, minCMV"
9.528310886243617,0.008530089346730925,0.02167637929980196,2,48,7,5,"ATF7-1:520, 4, set1, minProm"
4.976417706308894,0.083058603575878,0.14868665946496978,2,46,7,5,"ATF7-1:520, 4, set1, minTK"
2.173083700553434,0.33738119337362327,0.4493051365352979,2,43,7,5,"ATF7-1:853, 8, set1, minCMV"
19.087234323069424,7.165718271043223e-5,3.086384405382011e-4,2,38,7,5,"ATF7-1:853, 8, set1, minProm"
36.96079406523995,9.420317607607657e-9,7.125565362798796e-8,2,37,7,5,"ATF7-1:853, 8, set1, minTK"
15.552360786659847,4.196118698597699e-4,0.0015187130846662975,2,59,7,5,"Atoh1-1:1170, 1, set2, minCMV"
